observation_date,NYHVAC
1986-01-01,1.1
1987-01-01,1.3
1988-01-01,1.6
1989-01-01,1.6
1990-01-01,1.8
1991-01-01,1.8
1992-01-01,1.7
1993-01-01,1.7
1994-01-01,1.9
1995-01-01,1.6
1996-01-01,1.7
1997-01-01,2.0
1998-01-01,1.9
1999-01-01,1.6
2000-01-01,1.5
2001-01-01,1.5
2002-01-01,1.4
2003-01-01,1.3
2004-01-01,1.3
2005-01-01,2.0
2006-01-01,1.8
2007-01-01,2.2
2008-01-01,2.1
2009-01-01,2.4
2010-01-01,2.1
2011-01-01,2.7
2012-01-01,2.0
2013-01-01,1.7
2014-01-01,1.7
2015-01-01,2.0
2016-01-01,2.0
2017-01-01,2.1
2018-01-01,1.7
2019-01-01,1.5
2020-01-01,1.3
2021-01-01,1.3
2022-01-01,1.0
2023-01-01,1.0
2024-01-01,1.0
